sno,sna,sarea,lng,lat,2018/8/1-7,2018/8/1-8  ,2018/8/1-9  ,2018/8/1-10  ,2018/8/1-11,2018/8/1-12,2018/8/1-13,2018/8/1-14,2018/8/1-15,2018/8/1-16,2018/8/1-17,2018/8/1-18,2018/8/1-19,2018/8/1-20,2018/8/1-21,2018/8/1-22,2018/8/1-23,2018/8/1-24,2018/8/2-7,2018/8/2-8,2018/8/2-9,2018/8/2-10,2018/8/2-11,2018/8/2-12,2018/8/2-13,2018/8/2-14,2018/8/2-15,2018/8/2-16,2018/8/2-17,2018/8/2-18,2018/8/2-19,2018/8/2-20,2018/8/2-21,2018/8/2-22,2018/8/2-23,2018/8/2-24,2018/8/3-7,2018/8/3-8,2018/8/3-9,2018/8/3-10,2018/8/3-11,2018/8/3-12,2018/8/3-13,2018/8/3-14,2018/8/3-15,2018/8/3-16,2018/8/3-17,2018/8/3-18,2018/8/3-19,2018/8/3-20,2018/8/3-21,2018/8/3-22,2018/8/3-23,2018/8/3-24,2018/8/4-7,2018/8/4-8,2018/8/4-9,2018/8/4-10,2018/8/4-11,2018/8/4-12,,,,,,,,,,,,,,,,,,,,,,,
64,國家圖書館,中正區,121.517029,25.037773,12,8,32,32,32,32,32,37,48,35,38,29,26,28,8,2,2,1,12,25,30,36,33,33,24,29,29,35,33,16,10,12,1,1,3,4,10,22,42,30,47,32,29,48,36,38,34,29,22,16,28,4,5,7,14,19,28,11,34,31,,,,,,,,,,,,,,,,,,,,,,,
65,青年公園3號出口,萬華區,121.502708,25.022725,13,1,20,16,14,19,24,32,15,14,8,14,10,14,21,3,17,27,13,19,17,14,10,14,17,22,15,19,17,5,12,2,16,4,29,35,15,21,16,11,15,18,18,23,26,26,26,7,6,11,19,10,28,33,25,36,25,17,17,13,,,,,,,,,,,,,,,,,,,,,,,
66,師範大學公館校區,文山區,121.537188,25.007528,15,26,24,24,22,6,7,7,12,20,34,26,18,26,15,34,1,9,17,23,24,17,28,26,21,25,25,33,21,12,17,27,37,28,28,9,20,14,19,12,16,24,30,30,30,26,24,23,15,18,15,14,29,32,15,9,9,3,19,19,,,,,,,,,,,,,,,,,,,,,,,
67,捷運臺大醫院(4號出口),中正區,121.516428,25.042973,25,8,15,20,14,15,20,35,30,27,25,33,30,20,27,3,1,0,17,9,11,22,19,17,26,26,33,34,46,42,32,34,23,24,2,15,13,6,17,30,14,16,18,17,26,35,39,45,30,20,5,25,3,7,26,24,31,22,17,20,,,,,,,,,,,,,,,,,,,,,,,
68,國興青年路口,萬華區,121.506536,25.025865,19,3,8,12,14,15,19,16,11,11,5,25,19,11,3,14,21,28,30,25,25,32,21,11,12,17,21,20,4,1,9,11,10,0,14,23,26,18,7,10,13,10,13,11,16,18,19,15,12,24,15,7,16,26,28,19,22,26,22,23,,,,,,,,,,,,,,,,,,,,,,,
69,興豐公園,文山區,121.547778,24.999837,25,22,17,10,16,17,13,13,12,10,7,13,11,6,9,14,20,8,22,14,12,19,15,15,13,16,6,5,6,10,11,19,13,10,15,21,26,24,13,12,8,16,20,15,18,20,21,14,20,8,14,4,10,14,21,23,19,24,21,14,,,,,,,,,,,,,,,,,,,,,,,
70,捷運台北101/世貿站,信義區,121.561645,25.032752,38,35,34,33,27,29,24,30,20,21,15,22,39,41,11,19,0,1,33,46,51,30,46,34,24,24,24,35,28,20,21,33,36,4,0,0,40,8,20,14,21,24,24,34,30,14,21,16,9,25,9,18,0,2,40,35,28,25,34,41,,,,,,,,,,,,,,,,,,,,,,,
71,捷運信義安和站(4號出口),大安區,121.554204,25.032985,22,13,1,2,3,6,8,9,8,7,14,6,15,17,4,10,10,3,21,2,2,2,2,0,7,7,5,0,4,20,22,7,4,5,6,4,20,22,2,2,2,5,8,7,9,18,16,13,7,3,18,15,10,17,29,13,13,28,7,22,,,,,,,,,,,,,,,,,,,,,,,
72,新生長安路口,中山區,121.529346,25.048611,7,0,4,2,2,1,3,1,2,3,0,8,15,18,22,25,22,16,15,5,7,5,5,6,7,4,3,3,2,11,23,25,17,18,18,20,8,5,1,0,3,2,4,3,3,2,4,4,5,21,16,17,24,23,25,25,22,20,16,11,,,,,,,,,,,,,,,,,,,,,,,
73,酒泉延平路口,大同區,121.510195,25.072228,5,8,20,19,17,17,17,19,21,23,22,12,6,4,7,10,12,12,7,19,20,10,10,8,9,14,18,13,18,1,0,1,1,4,13,14,16,11,20,23,25,16,11,16,17,18,24,20,18,14,18,19,20,19,11,12,9,10,8,8,,,,,,,,,,,,,,,,,,,,,,,
74,信義連雲街口,中正區,121.530547,25.033817,32,25,19,13,8,5,3,4,0,1,3,7,8,24,20,23,30,33,36,27,27,29,26,25,24,19,21,16,22,30,29,19,29,12,6,13,25,13,26,16,10,6,10,7,2,2,4,7,0,3,5,9,10,8,11,10,5,2,1,3,,,,,,,,,,,,,,,,,,,,,,,
75,基隆光復路口,信義區,121.557635,25.0300508,18,25,28,23,30,16,21,22,7,0,7,14,21,10,8,16,21,19,20,14,15,16,14,15,22,17,13,15,14,12,24,8,8,22,26,23,15,4,16,8,0,20,24,16,14,13,15,17,17,15,27,2,8,11,1,10,9,9,8,1,,,,,,,,,,,,,,,,,,,,,,,
76,新生長春路口,中山區,121.527522,25.056387,21,27,23,21,16,16,19,20,22,17,18,5,13,11,18,26,26,30,31,8,8,18,14,11,12,11,11,11,12,7,6,6,11,20,22,20,23,17,10,3,1,0,2,12,16,12,12,12,10,10,18,23,20,18,21,27,23,6,5,4,,,,,,,,,,,,,,,,,,,,,,,
77,民生活動中心,松山區,121.56297,25.059147,16,21,26,25,20,17,17,18,17,22,12,17,10,7,13,19,30,18,20,26,26,29,15,13,9,3,11,19,22,22,23,27,30,25,26,20,15,10,10,19,29,14,16,7,1,5,6,5,2,3,2,1,0,10,15,15,19,19,26,24,,,,,,,,,,,,,,,,,,,,,,,
78,捷運圓山站(2號出口),大同區,121.519287,25.071824,17,22,34,20,14,29,33,32,23,34,33,29,18,31,14,4,0,8,14,32,23,19,24,31,22,7,32,26,43,17,38,13,21,26,0,15,18,42,23,19,18,19,34,43,43,31,15,14,19,9,20,29,2,9,29,36,38,22,18,21,,,,,,,,,,,,,,,,,,,,,,,
79,捷運民權西路站(3號出口),大同區,121.520205,25.061285,15,16,16,16,17,12,4,13,17,21,14,12,7,23,18,9,14,12,21,20,20,23,20,14,18,21,37,34,27,32,24,24,21,17,17,13,21,27,29,31,25,24,23,21,28,28,31,24,20,17,17,3,9,7,20,23,16,17,20,18,,,,,,,,,,,,,,,,,,,,,,,
80,華江高中,萬華區,121.495869,25.02751,9,16,30,37,21,43,33,27,30,34,28,15,4,19,18,28,19,16,6,25,27,25,26,27,27,32,34,31,32,22,26,31,35,28,20,22,12,13,29,32,37,42,26,33,33,29,32,21,15,18,27,29,25,25,27,15,15,19,15,17,,,,,,,,,,,,,,,,,,,,,,,
81,捷運台電大樓站(2號出口),大安區,121.528552,25.020547,15,3,2,0,9,5,8,9,14,23,13,32,19,32,16,22,26,28,16,1,8,1,5,5,4,3,14,8,13,17,11,15,11,28,20,21,19,19,23,12,3,3,3,1,12,14,20,7,7,19,5,0,5,0,30,29,31,10,5,22,,,,,,,,,,,,,,,,,,,,,,,
82,捷運西門站(3號出口),中正區,121.508693,25.041778,27,23,17,18,22,19,25,27,16,21,8,9,8,30,22,1,5,2,29,22,20,22,24,21,16,10,33,40,37,26,11,3,1,9,5,1,37,32,25,25,35,32,32,31,28,23,31,23,31,28,41,29,15,16,26,29,25,28,35,18,,,,,,,,,,,,,,,,,,,,,,,
83,捷運大安森林公園站,大安區,121.535161,25.033156,53,20,17,3,13,12,10,60,69,70,62,56,26,9,7,6,2,1,53,18,36,14,0,14,7,46,57,55,47,46,43,38,43,69,57,55,67,36,42,15,2,2,1,16,33,35,38,36,29,32,24,4,7,2,68,65,52,52,43,32,,,,,,,,,,,,,,,,,,,,,,,
84,復華花園新城,萬華區,121.502899,25.029705,25,24,11,26,22,21,24,19,19,20,22,21,11,18,17,12,10,15,34,31,31,25,30,28,30,27,30,28,33,12,10,1,6,11,22,24,25,16,11,15,12,2,21,13,16,21,10,11,8,11,19,9,14,16,23,23,16,24,18,22,,,,,,,,,,,,,,,,,,,,,,,
85,信義敦化路口,大安區,121.54911,25.033362,18,16,22,9,4,13,13,13,14,25,24,18,4,1,7,1,2,4,19,36,36,26,28,18,13,32,30,32,32,18,20,19,7,1,3,0,18,14,16,15,10,16,18,7,33,28,32,29,25,17,5,2,2,1,17,24,21,23,22,18,,,,,,,,,,,,,,,,,,,,,,,
86,民權復興路口,松山區,121.545138,25.062344,9,1,6,9,8,9,9,7,6,8,8,8,3,11,9,17,14,16,12,4,5,2,3,6,5,6,6,4,3,3,3,6,8,11,13,15,12,6,4,6,4,3,2,10,11,12,11,8,5,4,2,5,15,18,30,26,25,26,26,30,,,,,,,,,,,,,,,,,,,,,,,
87,捷運大安站,大安區,121.543057,25.033078,8,1,4,2,2,1,4,5,1,1,0,12,7,8,5,0,1,6,11,0,2,1,5,7,9,12,7,1,5,22,14,17,6,0,0,5,11,3,0,4,1,3,16,13,8,15,9,13,9,3,10,8,3,3,19,1,3,14,4,8,,,,,,,,,,,,,,,,,,,,,,,
88,捷運象山站,信義區,121.57087,25.032922,34,9,17,15,38,26,34,42,52,33,35,40,37,27,30,30,24,28,43,1,0,12,13,12,11,28,25,31,43,37,32,26,22,21,3,2,30,9,1,2,23,12,14,20,23,20,23,26,26,24,25,2,13,13,34,39,53,42,25,16,,,,,,,,,,,,,,,,,,,,,,,
89,和平重慶路口,中正區,121.516385,25.027323,25,16,2,1,4,7,4,5,10,20,18,16,22,10,10,16,19,27,21,21,18,11,8,3,3,2,8,6,6,5,22,33,25,28,25,30,34,21,3,4,4,2,0,10,6,15,18,25,1,6,10,18,23,32,37,37,24,32,28,16,,,,,,,,,,,,,,,,,,,,,,,
90,老松國小,萬華區,121.501708,25.037783,27,23,13,5,13,17,20,24,20,10,1,12,29,15,24,27,32,36,35,15,15,9,5,1,5,4,1,0,4,19,19,19,18,17,26,25,19,11,5,7,7,7,10,17,18,21,23,25,30,28,28,29,31,38,8,12,7,2,17,17,,,,,,,,,,,,,,,,,,,,,,,
91,市立美術館,中山區,121.523268,25.070629,25,18,21,20,26,22,24,28,27,27,26,10,15,17,22,19,19,19,11,1,1,16,17,13,10,13,12,9,7,11,9,10,5,8,5,10,10,7,5,16,21,20,18,18,19,24,22,18,19,17,21,28,22,26,19,22,23,19,20,26,,,,,,,,,,,,,,,,,,,,,,,
92,開封西寧路口,萬華區,121.507169,25.046618,13,1,2,1,4,0,6,2,1,4,11,9,17,27,9,12,17,19,22,22,22,22,2,4,13,10,4,4,16,22,31,33,30,22,27,29,29,17,18,2,0,1,5,3,9,10,9,9,10,13,16,24,17,11,18,19,13,15,8,15,,,,,,,,,,,,,,,,,,,,,,,
93,吳興公車總站,信義區,121.569836,25.023877,26,3,32,17,35,34,21,16,18,16,31,32,9,34,30,55,36,39,37,27,25,24,26,28,33,15,19,23,20,31,31,18,11,26,16,27,27,17,20,37,37,41,19,12,10,10,10,12,11,21,40,23,55,19,29,15,8,47,45,35,,,,,,,,,,,,,,,,,,,,,,,
94,捷運景美站,文山區,121.541059,24.993254,19,7,17,21,23,16,13,13,13,9,19,30,26,34,36,39,32,27,22,25,23,25,31,16,19,22,24,22,28,32,33,18,15,3,32,25,25,7,19,32,38,18,8,21,25,24,25,24,26,21,12,21,2,4,13,17,16,27,16,11,,,,,,,,,,,,,,,,,,,,,,,
95,東園國小,萬華區,121.497679,25.023393,19,27,21,15,13,12,15,12,12,15,9,10,14,4,11,5,17,18,16,8,8,6,2,0,7,7,5,9,6,12,11,10,14,12,18,25,21,18,12,7,5,4,11,5,1,7,9,9,8,8,8,13,21,19,26,26,22,20,22,20,,,,,,,,,,,,,,,,,,,,,,,
96,三民公園,松山區,121.566558,25.061567,19,13,6,4,3,16,17,21,21,23,9,9,12,14,13,8,20,21,17,4,4,3,3,10,15,17,25,25,23,16,20,5,13,3,8,11,16,9,5,6,6,3,3,3,3,4,5,7,6,5,13,9,14,15,19,20,20,14,13,12,,,,,,,,,,,,,,,,,,,,,,,
97,捷運劍潭站(2號出口),士林區,121.524721,25.082825,22,28,6,1,17,23,23,22,17,7,15,46,15,14,1,1,2,9,25,0,9,27,31,23,27,17,23,18,22,41,29,52,24,1,0,1,30,19,0,27,32,14,16,24,31,32,25,8,10,3,17,13,0,5,29,27,16,18,37,14,,,,,,,,,,,,,,,,,,,,,,,
98,羅斯福景隆街口,文山區,121.540197,24.999378,28,26,24,23,24,24,21,22,26,26,28,25,15,12,13,12,17,18,28,18,18,18,17,17,20,20,23,19,14,18,18,25,24,34,19,22,30,28,25,21,22,23,24,22,23,25,23,25,23,26,26,26,30,27,32,33,33,35,28,25,,,,,,,,,,,,,,,,,,,,,,,
99,捷運雙連站(2號出口),大同區,121.520711,25.057866,15,32,30,29,24,18,28,31,18,15,27,5,1,8,1,1,11,8,7,7,7,20,28,20,21,12,8,39,34,1,9,5,1,3,2,6,15,11,25,29,25,24,22,25,30,25,25,15,15,8,1,7,1,5,14,19,24,26,31,34,,,,,,,,,,,,,,,,,,,,,,,
100,金山市民路口,中正區,121.530697,25.045753,10,8,6,1,1,5,7,4,8,19,16,23,16,15,11,13,11,13,11,9,10,6,14,15,22,16,14,13,10,14,17,15,7,10,8,7,22,20,14,16,17,19,19,26,21,25,18,24,25,27,19,17,9,8,4,3,5,10,8,7,,,,,,,,,,,,,,,,,,,,,,,
101,華山文創園區,中正區,121.528487,25.043668,18,15,18,24,22,21,17,23,24,35,41,25,18,27,23,20,19,18,20,21,20,23,26,28,28,26,34,39,37,17,19,27,25,16,16,16,16,11,7,14,19,18,14,37,42,48,46,39,36,37,27,27,22,12,19,17,19,29,21,16,,,,,,,,,,,,,,,,,,,,,,,
102,臺北市客家文化主題公園,中正區,121.525322,25.02043,10,6,4,5,4,3,1,1,2,3,1,0,2,0,2,1,7,7,12,1,0,1,0,0,0,0,2,2,9,4,4,1,5,8,11,11,3,1,11,8,6,4,2,0,2,6,8,9,8,6,2,6,8,8,15,11,5,2,2,1,,,,,,,,,,,,,,,,,,,,,,,
103,萬華車站,萬華區,121.503028,25.033639,17,6,1,1,12,12,16,16,15,12,15,24,29,29,30,33,34,35,31,14,15,18,19,20,19,15,14,16,15,36,33,35,38,37,36,39,36,23,24,21,21,18,23,20,21,20,21,23,24,21,23,21,24,26,23,21,19,15,14,16,,,,,,,,,,,,,,,,,,,,,,,
104,台北花木批發市場,文山區,121.54074,25.004023,21,18,23,21,21,12,9,7,8,9,12,19,12,27,9,18,29,13,29,14,33,30,31,29,21,18,11,10,20,26,11,24,7,14,5,10,27,20,9,25,22,19,19,14,15,16,17,21,9,16,13,9,22,30,28,22,16,21,19,20,,,,,,,,,,,,,,,,,,,,,,,
105,峨嵋停車場,萬華區,121.505409,25.044412,9,10,17,7,12,18,23,23,24,31,31,29,25,27,34,27,19,13,10,15,8,8,7,1,10,14,15,16,13,12,11,20,18,14,9,5,12,14,15,11,6,13,11,9,11,12,14,17,16,10,17,9,15,15,12,13,16,3,9,10,,,,,,,,,,,,,,,,,,,,,,,
106,西園艋舺路口,萬華區,121.497674,25.032932,17,7,2,0,3,6,9,8,7,7,12,9,6,11,10,4,1,6,17,6,5,4,2,6,6,6,8,8,9,12,13,12,8,12,11,6,25,16,14,10,8,11,16,17,13,8,12,10,3,3,4,3,9,9,25,28,26,18,20,20,,,,,,,,,,,,,,,,,,,,,,,
107,捷運小南門站(1號出口),中正區,121.509422,25.036402,17,29,46,45,32,32,24,21,15,38,34,28,10,10,3,6,7,0,4,39,39,38,40,43,29,31,30,40,29,17,14,4,17,7,7,8,7,11,22,21,17,9,4,9,26,21,14,26,28,39,37,29,27,23,24,27,22,32,36,34,,,,,,,,,,,,,,,,,,,,,,,
108,臺北孔廟,大同區,121.515843,25.073306,20,19,15,18,11,2,3,3,2,4,9,16,12,8,21,14,21,26,25,3,1,14,4,2,0,3,6,8,0,2,10,18,16,13,21,18,18,15,21,15,18,17,10,11,8,12,10,22,20,12,7,9,22,23,19,20,15,18,18,17,,,,,,,,,,,,,,,,,,,,,,,
109,林安泰古厝,中山區,121.530805,25.071606,11,15,18,15,15,14,14,16,17,15,11,9,10,15,14,12,11,15,9,21,22,21,16,18,19,24,21,21,13,15,6,11,13,14,18,9,11,13,19,21,21,17,17,18,18,18,16,16,14,13,14,8,7,8,9,9,17,15,16,13,,,,,,,,,,,,,,,,,,,,,,,
110,文湖國小,內湖區,121.560888,25.086376,35,15,9,23,21,11,5,2,5,11,16,16,14,22,38,18,31,28,42,14,15,18,25,19,14,18,12,17,15,0,3,10,36,14,31,33,30,23,24,29,23,19,14,11,12,11,10,7,1,5,17,17,25,32,33,28,19,1,24,15,,,,,,,,,,,,,,,,,,,,,,,
111,捷運忠孝復興站(2號出口),大安區,121.543497,25.040184,31,0,5,3,1,5,12,10,2,4,7,6,19,15,12,0,1,16,39,9,9,0,3,2,9,12,11,8,5,31,25,36,21,10,3,6,14,3,3,0,8,9,5,3,0,16,15,16,6,4,6,4,1,19,36,17,20,25,23,21,,,,,,,,,,,,,,,,,,,,,,,
112,捷運新北投站,北投區,121.503124,25.137456,32,29,25,21,25,38,35,32,27,18,1,3,15,21,18,21,23,22,23,23,22,9,25,25,21,26,23,19,0,12,13,20,22,21,20,20,22,32,29,21,12,29,24,19,11,14,17,12,9,16,19,20,23,40,41,32,26,27,25,18,,,,,,,,,,,,,,,,,,,,,,,
113,仁愛逸仙路口,信義區,121.561178,25.037724,18,33,24,25,21,21,18,22,19,23,17,18,6,4,10,11,10,13,25,24,26,27,30,29,27,32,21,20,21,11,5,15,16,15,13,5,14,15,11,9,0,8,7,10,17,19,15,12,11,12,14,22,15,12,23,23,22,22,20,16,,,,,,,,,,,,,,,,,,,,,,,
114,蘭雅公園,士林區,121.530386,25.109908,15,16,24,11,7,7,6,7,15,20,12,17,17,28,18,6,9,6,21,29,27,17,10,10,5,3,11,11,17,10,24,10,1,0,5,4,14,16,4,4,12,16,4,14,12,11,12,3,7,18,15,3,0,8,8,12,9,3,5,13,,,,,,,,,,,,,,,,,,,,,,,
115,臺北轉運站,中正區,121.520526,25.048222,44,19,8,8,6,13,17,14,11,8,22,28,56,29,18,20,13,51,42,10,8,3,3,13,8,9,7,2,19,48,52,34,30,34,18,30,52,40,27,23,23,21,32,32,31,35,22,37,29,43,45,41,25,30,46,48,38,37,37,29,,,,,,,,,,,,,,,,,,,,,,,
116,福林公園,士林區,121.530215,25.096122,6,5,1,1,1,2,5,9,5,7,12,16,18,22,21,14,11,11,14,17,17,13,15,12,7,6,5,6,2,7,6,4,4,4,9,7,11,8,8,6,5,6,6,11,11,12,11,7,10,9,9,10,15,16,20,14,19,23,25,29,,,,,,,,,,,,,,,,,,,,,,,
117,捷運北投站,北投區,121.498618,25.132581,40,29,35,19,19,28,34,31,35,37,32,41,32,37,21,0,0,11,25,17,17,18,16,20,35,23,12,15,17,12,43,26,23,9,9,15,30,29,25,23,23,18,24,49,38,46,33,38,28,18,28,26,12,13,25,34,28,37,12,33,,,,,,,,,,,,,,,,,,,,,,,
118,大業大同街口,北投區,121.499152,25.136929,15,0,5,8,5,1,2,3,0,0,2,4,6,15,7,18,22,24,29,1,1,13,11,8,1,0,1,2,2,10,19,23,12,13,22,27,17,16,0,8,3,9,6,0,2,3,1,2,5,12,13,13,18,27,27,18,26,21,16,10,,,,,,,,,,,,,,,,,,,,,,,
119,捷運劍南路站(2號出口),中山區,121.555116,25.08418,23,39,33,5,16,21,26,43,21,20,29,24,20,10,2,12,0,0,13,32,31,19,17,23,31,34,40,36,43,32,23,15,0,9,2,0,17,29,35,3,5,18,24,30,37,30,32,36,29,17,23,6,1,0,1,8,10,28,22,26,,,,,,,,,,,,,,,,,,,,,,,
120,捷運龍山寺站(1號出口),萬華區,121.50026,25.035479,25,7,9,13,20,11,12,12,7,12,19,25,16,5,0,9,0,13,16,5,8,14,10,19,21,22,15,24,18,0,0,12,2,6,3,6,30,10,15,23,23,18,10,12,8,7,14,6,2,10,2,5,7,1,9,6,6,12,14,13,,,,,,,,,,,,,,,,,,,,,,,
121,龍江南京路口,中山區,121.540568,25.05298,11,12,21,15,17,18,18,12,8,11,13,10,7,5,1,4,5,8,22,41,41,45,46,38,39,39,37,50,51,27,26,21,18,21,18,18,13,16,43,39,37,38,41,38,32,54,55,56,55,48,44,41,35,38,40,40,43,48,42,45,,,,,,,,,,,,,,,,,,,,,,,
122,捷運港墘站(2號出口),內湖區,121.57584,25.079666,24,20,1,1,4,3,6,2,3,0,11,22,18,17,26,9,4,3,27,0,0,1,3,2,1,3,1,4,15,36,35,30,36,20,24,23,35,28,0,0,0,1,10,6,2,2,16,39,38,39,45,26,18,17,22,25,27,29,19,27,,,,,,,,,,,,,,,,,,,,,,,
123,天母運動公園,士林區,121.534136,25.116325,9,25,31,21,23,23,23,26,24,24,31,15,33,16,15,3,7,6,16,25,27,44,22,17,5,22,25,28,19,28,34,13,8,19,10,10,7,19,24,28,18,13,8,5,5,5,5,23,28,22,23,24,20,20,21,23,20,26,31,29,,,,,,,,,,,,,,,,,,,,,,,
124,振華公園,北投區,121.518163,25.115863,16,7,1,2,4,4,8,8,4,7,11,3,2,3,2,3,5,2,14,12,12,12,10,12,10,13,12,8,10,13,14,14,12,17,19,17,19,13,9,6,8,12,17,22,16,16,14,16,18,18,17,18,25,29,30,30,26,23,27,30,,,,,,,,,,,,,,,,,,,,,,,
125,華西公園,萬華區,121.498495,25.038609,26,20,10,13,1,3,5,4,4,3,9,14,11,6,12,20,19,21,18,13,11,4,8,6,7,9,5,2,2,4,8,9,3,11,10,15,15,14,4,3,4,6,9,9,12,11,13,15,12,6,7,14,24,20,21,25,21,25,10,9,,,,,,,,,,,,,,,,,,,,,,,
126,敦化基隆路口,大安區,121.548336,25.022073,7,22,12,27,20,14,5,15,19,18,8,21,0,6,4,6,2,2,6,7,6,16,11,20,2,13,26,26,5,1,3,0,3,7,9,10,13,4,12,13,24,13,3,17,15,26,27,25,23,15,12,9,18,15,17,16,15,18,17,18,,,,,,,,,,,,,,,,,,,,,,,
127,東湖國中,內湖區,121.619521,25.073277,10,16,20,15,16,9,2,6,2,3,0,2,9,17,13,20,21,16,23,32,33,32,20,15,2,4,5,8,0,1,0,4,2,1,8,8,7,9,7,6,4,1,0,7,9,9,9,8,8,19,20,22,17,22,23,26,23,22,21,22,,,,,,,,,,,,,,,,,,,,,,,
128,成功國宅,大安區,121.546726,25.026808,17,18,21,22,18,22,20,15,0,0,7,6,14,23,26,17,20,24,27,7,3,22,17,10,7,5,0,2,7,6,14,12,12,3,10,18,20,15,12,16,10,11,9,10,10,15,21,20,21,2,7,12,29,33,20,16,19,14,2,0,,,,,,,,,,,,,,,,,,,,,,,
129,捷運文德站(2號出口),內湖區,121.58456,25.078424,23,19,13,6,4,7,9,4,8,2,1,8,21,21,20,19,15,12,40,0,0,1,1,7,4,0,6,1,3,15,19,20,21,24,16,15,30,28,3,3,1,1,1,3,3,2,6,12,18,16,30,32,25,24,27,29,27,27,30,30,,,,,,,,,,,,,,,,,,,,,,,
